municipality_id,source_id,url,http_status,bytes,text_chars,status,error
M081,S-M081-03,https://www.city.asakuchi.lg.jp/page/14587.html,200,28305,6547,OK,
M082,S-M082-01,https://www.town.wake.lg.jp/soshiki/seikatsukankyo/gyomu/1/1999.html,200,50295,3658,OK,
M082,S-M082-02,https://www.town.wake.lg.jp/material/files/group/21/syuusyuunittei4.pdf,200,845977,4074,OK,
M083,S-M083-01,https://www.town.hayashima.lg.jp/soshiki/jogesuido/gyomu/gomi/katei_gomi/bunbetsu/1638.html,200,55152,8137,OK,
M083,S-M083-02,https://www.town.hayashima.lg.jp/soshiki/jogesuido/gyomu/gomi/katei_gomi/bunbetsu/1887.html,200,48359,3324,OK,
M084,S-M084-01,https://www.town.satosho.okayama.jp/site/recycle/,200,15935,2217,OK,
M084,S-M084-02,https://www.town.satosho.okayama.jp/site/recycle/1248.html,200,19924,5592,OK,
M084,S-M084-03,https://www.town.satosho.okayama.jp/site/recycle/2040.html,200,19371,5507,OK,
M085,S-M085-01,https://www.town.yakage.okayama.jp/life/kankyo/gomi.html,,0,0,ERROR,"SSLError: HTTPSConnectionPool(host='www.town.yakage.okayama.jp', port=443): Max retries exceeded with url: /life/kankyo/gomi.html (Caused by SSLError(SSLCertVerificationError(1, ""[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'www.town.yakage.okayama.jp'. (_ssl.c:1010)"")))"
M087,S-M087-01,https://www.town.kagamino.lg.jp/uploaded/attachment/10954.pdf,200,6532180,0,ERROR,ValueError: extracted text too short
M087,S-M087-02,https://www.town.kagamino.lg.jp/soshiki/1/1091.html,200,19467,3776,OK,
M087,S-M087-03,https://www.town.kagamino.lg.jp/uploaded/attachment/14008.pdf,200,5563042,51975,OK,
M088,S-M088-01,https://www.town.shoo.lg.jp/soshiki/16/1248.html,200,30655,6379,OK,
M088,S-M088-02,https://www.town.shoo.lg.jp/soshiki/16/,200,30566,7028,OK,
M089,S-M089-01,https://www.town.nagi.okayama.jp/gyousei/kurashi/shinyou_gomi_risaikuru/gomi_risaikuru/gomi_shushu.html,200,29408,9348,OK,
M090,S-M090-01,https://www.vill.nishiawakura.okayama.jp/wp/%E3%81%94%E3%81%BF%E3%81%AE%E5%87%BA%E3%81%97%E6%96%B9%E3%81%A8%E3%81%94%E3%81%BF%E5%8F%8E%E9%9B%86%E3%82%AB%E3%83%AC%E3%83%B3%E3%83%80%E3%83%BC/,200,40971,1119,OK,
M090,S-M090-02,https://www.vill.nishiawakura.okayama.jp/wp/wp-content/uploads/2023/03/0ca6f4a15b068ee9f193023d607dc9f0.pdf,200,177173,2740,OK,
M091,S-M091-01,https://www.town.kumenan.lg.jp/living/dust_recycle/dust_recycle/bunbetsu.html,200,27517,11942,OK,
M092,S-M092-01,https://www.town.okayama-misaki.lg.jp/kurashi/gomi-kankyo/1/1/1916.html,200,79169,16782,OK,
M092,S-M092-02,https://www.town.okayama-misaki.lg.jp/material/files/group/8/R8gomicalendar_chuo.pdf,200,111323,4142,OK,
M093,S-M093-01,https://www.town.kibichuo.lg.jp/soshiki/7/4401.html,200,28125,2906,OK,
M093,S-M093-02,https://www.town.kibichuo.lg.jp/uploaded/attachment/12948.pdf,200,103066,970,OK,
M094,S-M094-01,https://www.city.hiroshima.lg.jp/living/gomi-kankyo/1021277/1003072/1026095/1026096/1003182.html,200,94696,31118,OK,
M094,S-M094-02,https://www.city.hiroshima.lg.jp/_res/projects/default_project/_page_/001/003/182/2026.pdf,200,7109558,583,OK,
M094,S-M094-03,https://www.city.hiroshima.lg.jp/living/gomi-kankyo/1021277/1003072/1026094/1003180.html,200,50238,8681,OK,
M095,S-M095-01,https://www.city.kure.lg.jp/soshiki/19/gomidasicalender2026.html,200,83134,16473,OK,
M095,S-M095-02,https://www.city.kure.lg.jp/soshiki/19/gomidasicalender2026.html,200,83135,16473,OK,
